time,fips,region,ownercode,firmage,Emp,EmpEnd,EarnBeg,EmpS,EmpTotal,FrmJbC
1994,16,Idaho,A05,4,205494.0,208531.0,5424.0,162675.0,284049.0,3037.0
1994,16,Idaho,A05,5,1018419.0,1024177.0,7705.0,873158.0,1265753.0,5757.0
1994,17,Illinois,A05,1,751058.0,824061.0,6658.0,577677.0,1153362.0,73002.0
1994,17,Illinois,A05,2,773392.0,778062.0,7162.0,617919.0,1041991.0,4670.0
1994,17,Illinois,A05,3,832782.0,838472.0,7307.0,671988.0,1108656.0,5690.0
1994,17,Illinois,A05,4,2058897.0,2065337.0,8250.0,1724059.0,2615644.0,6438.0
1994,17,Illinois,A05,5,13942646.0,13995440.0,9934.0,12370852.0,16453522.0,52793.0
1994,20,Kansas,A05,1,169439.0,186215.0,4929.0,124014.0,274217.0,16777.0
1994,20,Kansas,A05,2,162159.0,162241.0,5093.0,123000.0,234230.0,81.0
1994,20,Kansas,A05,3,180315.0,180412.0,5525.0,139772.0,253577.0,96.0
1994,20,Kansas,A05,4,395532.0,395188.0,6475.0,319668.0,527145.0,-347.0
1994,20,Kansas,A05,5,2775307.0,2777414.0,8027.0,2400061.0,3388268.0,2106.0
1994,24,Maryland,A05,1,294774.0,326974.0,6452.0,229517.0,450285.0,32202.0
1994,24,Maryland,A05,2,333366.0,338033.0,6730.0,264868.0,454530.0,4667.0
1994,24,Maryland,A05,3,321391.0,324955.0,6988.0,261348.0,424003.0,3564.0
1994,24,Maryland,A05,4,875023.0,884006.0,7580.0,724672.0,1131829.0,8983.0
1994,24,Maryland,A05,5,4947948.0,4940678.0,9202.0,4311515.0,5920575.0,-7271.0
1994,30,Montana,A05,1,64457.0,71894.0,4052.0,47366.0,103383.0,7436.0
1994,30,Montana,A05,2,57466.0,57950.0,4339.0,44258.0,80781.0,484.0
1994,30,Montana,A05,3,65598.0,65909.0,5186.0,53002.0,86006.0,310.0
1994,30,Montana,A05,4,164820.0,165360.0,5327.0,133317.0,217075.0,541.0
1994,30,Montana,A05,5,678482.0,683082.0,6811.0,585555.0,831107.0,4599.0
1994,37,North Carolina,A05,1,455837.0,505956.0,5201.0,329983.0,774178.0,50119.0
1994,37,North Carolina,A05,2,516240.0,521429.0,5349.0,385884.0,771295.0,5188.0
1994,37,North Carolina,A05,3,543732.0,549779.0,5740.0,425572.0,764207.0,6046.0
1994,37,North Carolina,A05,4,1284768.0,1296453.0,6370.0,1037970.0,1735276.0,11685.0
1994,37,North Carolina,A05,5,8340834.0,8375352.0,8036.0,7254733.0,10159781.0,34518.0
1994,41,Oregon,A05,1,226990.0,253954.0,5187.0,167126.0,379437.0,26963.0
1994,41,Oregon,A05,2,222385.0,223463.0,5604.0,170371.0,320154.0,1078.0
1994,41,Oregon,A05,3,258439.0,260628.0,5736.0,198541.0,375041.0,2188.0
1994,41,Oregon,A05,4,616901.0,619435.0,6638.0,496699.0,831805.0,2533.0
1994,41,Oregon,A05,5,3202760.0,3222822.0,8475.0,2784211.0,3913279.0,20061.0
1994,53,Washington,A05,1,391175.0,428542.0,5125.0,284227.0,643285.0,37368.0
1994,53,Washington,A05,2,371430.0,371661.0,5818.0,280388.0,548901.0,233.0
1994,53,Washington,A05,3,457199.0,458606.0,6213.0,353742.0,668971.0,1407.0
